No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間
23,心カテ北廊下,337,131,10,2,水漏れ発見,天井から水が滴下している。エアコン。,バケツ対応,すぐにいっぱいになる,5,防水シーツを置く,すぐにいっぱいになる,6,他の人に応援を求める,とりあえず伝達してみる。,2,保留,対応を後回しにし、状況を見る。,1
23,心カテ北廊下,337,131,10,3,床の隆起,床が液状化している,隆起しているところをロープを張る,つまずかないようにする,2,テープを張る,見えにくいが、応急措置をした,2,そこにあるものを置いておく,他の人に邪魔だとどかされてしまう。（10分後）,5,保留,対応を後回しにし、状況を見る。,1
24,心カテ(北),510,137,20,1,Cアームが動く,固定されているはずのCアームが揺れている,アーム退避・ロック,ロックがかからない,2,アンカーボルトの確認,アンカーボルトが浮いているようにみえる,0,触らないようにする,使用禁止になる,1,保留,対応を後回しにし、状況を見る。,1
24,心カテ(北),510,137,20,2,自動注入器が落下,自立型のインジェクターが落下している,脇に置いておく,後で考える。,2,電源をつけて自己診断させる。,使用可能となる。,2,断線しているかもしれないので、コードを確認する。,破損なし,5,保留,対応を後回しにし、状況を見る。,1
24,心カテ(北),510,137,20,3,壁の亀裂,壁に1cm×4cmの亀裂を発見,とりあえず、亀裂を隠す,紙でも貼っておく,2,危険なので、部屋を使用禁止にする,とりあえず人を入れないようにする。,1,亀裂の中を確認する,亀裂が広がる,4,保留,対応を後回しにし、状況を見る。,1
25,心カテ間,510,170,10,1,床下が濡れている,傍の水道が水漏れしている,水漏れを直す,物がないので直せない,4,防水テープを巻く,どこにあるかわからない,2,とりあえず、床の重要なものだけ動かす,とりあえず必要なものだけ移動させた,3,保留,対応を後回しにし、状況を見る。,1
25,心カテ間,510,170,10,2,鉛防護衣ハンガー倒壊・防護具散乱,ラックが傾いている。倒れている,端に寄せる,通路を確保,3,ラックを元に戻す,一気にしても重くて動かない。一つ一つしていると以外に時間がかかる,12,検査に入りそうな分だけ使えるか確認する,最低限の使用するときのものを整える,4,保留,対応を後回しにし、状況を見る。,1
25,心カテ間,510,170,10,3,薬剤の散乱,アンプルが割れている。,近づかない,受傷防止。,1,素手で拾う,切り傷。,2,ほうきで集めて回収する,ほうきを探すのに時間がかかった,6,保留,対応を後回しにし、状況を見る。,1
26,スタッフコーナー,605,194,5,1,情報端末の確保,電子カルテ端末。,電源確保し情報収集,患者情報入手。,3,ゲームをする,論外。,0,分解する,器物損壊。,0,保留,対応を後回しにし、状況を見る。,1
26,スタッフコーナー,605,194,5,2,内線電話の対応,電話が鳴っている。,出る,状況把握。,2,無視する,情報途絶。,0,切る,通信遮断。,0,保留,対応を後回しにし、状況を見る。,1
26,スタッフコーナー,605,194,5,3,筆記具の確保,落ちていた油性ペンとメモ,ポケットに入れる,何かに使えそうだ,1,伝言メモを残す,誰かが見てくれると思い記載する,2,そのままにする,後で取りにこよう,1,保留,対応を後回しにし、状況を見る。,1
27,血管造影（心カテ）,501,321,20,1,大型モニター落下,天吊りモニターが外れかけ。,直下退避,人身事故防止。,1,支える,圧死。,0,見上げる,顔面に落下。,0,保留,対応を後回しにし、状況を見る。,1
27,血管造影（心カテ）,501,321,20,2,Cアームが傾き,Cアームが気持ち傾いて見える,電源をつけてエラーを確認,通電できたもののエラーは確認できず,10,水平器で確認,発災前と変化したのかよくわからない,5,アンカーボルトの確認,特に浮いているように思わない,2,保留,対応を後回しにし、状況を見る。,1
27,血管造影（心カテ）,501,321,20,3,天井パネルの落下,寝台付近のパネルが落下して破片が散乱している,掃除する,以外に時間がかかる,5,使用禁止の紙を貼る,入室禁止にする。,1,天井を確認する,脚立を見つけるのに時間がかかったが安全確認した,10,保留,対応を後回しにし、状況を見る。,1
28,血管撮影室（南）,430,516,7,1,カテーテル棚倒壊,カテーテルが散乱。,踏まないよう迂回,物品保護。,2,使えるように片付ける,以外に時間がかかる,10,高そうなものだけ片付ける,破損・転倒回避,2,保留,対応を後回しにし、状況を見る。,1
28,血管撮影室（南）,430,516,7,2,ラージモニターが破損,ラージモニターのレール破損し落下している。,壁際へ退避,自分の身を守りながら観察する,1,動かしてみる,天井からレールが落下。頭部損傷,17,部屋を使用禁止とし、張り紙をはる,危険回避,4,保留,対応を後回しにし、状況を見る。,1
28,血管撮影室（南）,430,516,7,3,バイタルモニター,倒れており、液晶モニターが破損している。音が鳴っている,触らないようにする,とりあえず、後回しにする,1,音を消す,ボタン操作する,1,電源切る,監視放棄。,0,保留,対応を後回しにし、状況を見る。,1
29,血管撮影室（南）,493,512,7,1,感染性廃棄物箱から液体,不明な液体溜まり。,触らず迂回,薬品・感染の回避,1,臭いを嗅ぐ,誤って鼻についてしまう。精神的にダメージを負う,3,拭き取る,手荒れ・感染。,7,保留,対応を後回しにし、状況を見る。,1
29,血管撮影室（南）,493,512,7,2,配線のスパーク,床の配線から煙。,ブレーカーを落とす,火災防止。,3,水をかける,かけた水をつたって感電,15,消火作業を行う。,初期消火に成功。機器使用は不明,5,保留,対応を後回しにし、状況を見る。,1
29,血管撮影室（南）,493,512,7,3,扉の変形,ドア枠の変形で防護扉が閉まらない,備付ハンマー使用,脱出。,5,大声で叫ぶ,解決しない。,3,張り紙を貼り、別のところを見る,次の人に任せる,2,保留,対応を後回しにし、状況を見る。,1
30,血管撮影室（南）操作,542,568,5,1,鉛ガラスのヒビ,ガラスが割れそう。,養生テープ補強,飛散防止。,3,触れないように張り紙を貼る,安全確認を徹底,2,写真を撮って保全する。,被害の写真保全,1,保留,対応を後回しにし、状況を見る。,1
30,血管撮影室（南）操作,542,568,5,2,自動扉が開かない,電子ロックが外れていない,患者安否を外から確認する,誰かがいるか確認する,2,他の出入り口を確認する,回り込む,1,壊す,中々壊れないまま、時間だけが経過,10,保留,対応を後回しにし、状況を見る。,1
30,血管撮影室（南）操作,542,568,5,3,データのバックアップ,サーバー接続確認を行わなければならないか？,外付けハードディスクの確認,データ保全。,7,電源をつけてサーバー確認,電源が付いたのでバックアップ,8,電源付けずに損傷だけ確認,ケーブル断線有無を確認,2,保留,対応を後回しにし、状況を見る。,1
31,技師室カンファ室,627,471,10,1,連絡網の確保,緊急連絡網ファイルを発見,マニュアルの確認,招集準備。,1,後で考えるためいったん持ち出す。,片手がふさがる。,2,その場で電話してみる,繋がらない,3,保留,対応を後回しにし、状況を見る。,1
31,技師室カンファ室,627,471,10,2,電子カルテ端末,落下しそう。,床に置く,破損防止。,1,接着剤で貼る,無意味。,5,放置,落下・破損。,0,保留,対応を後回しにし、状況を見る。,1
31,技師室カンファ室,627,471,10,3,テレビ情報,ニュース流す。,情報収集,広域被害把握。,2,電源の確認,白いコンセントに接続されている。,1,モニターが表示されない,ビデオモードになっていた。,1,保留,対応を後回しにし、状況を見る。,1
32,ロッカー室,718,464,5,1,災害物品の発見,模造紙とペンの一式を発見（クロノロジー用）,壁に貼る,時系列記録準備。,2,床に敷く,床が濡れていることに気づかず少し使えなくなる,4,この場所で記録し始める,狭くてくしゃくしゃになる,3,保留,対応を後回しにし、状況を見る。,1
32,ロッカー室,718,464,5,2,ロッカーの傾き,いまにも倒れてきそう。,近づかない,下敷き回避。,1,ロッカーと床との間につかえそうなものがありそう,ロッカーに触れた直後に倒れて手が床とロッカーの間に挟まり損傷,8,そこ以外を探索して使用できるものを探す,何もなかった,4,保留,対応を後回しにし、状況を見る。,1
32,ロッカー室,718,464,5,3,私物の散乱,財布やロッカーの荷物が散乱,使用禁止にする,盗難防止。,5,片付けられるところを片付ける,使用できそうなものを探す。,4,部屋の奥までとりあえず人がいないか探す。,安全確認後すぐ部屋から出る。,2,保留,対応を後回しにし、状況を見る。,1
33,技師休憩室,751,462,5,1,家族への連絡,安否が心配。,LINE一通のみ,回線負荷軽減。,1,電話連打,繋がり難い・迷惑。,10,帰宅する,職場放棄。,0,保留,対応を後回しにし、状況を見る。,1
33,技師休憩室,751,462,5,2,身の安全確保,電子カルテを入力中に余震発生,机の下に隠れる,身の安全確保,1,パソコンが倒れないように抑える,それ以上の揺れにより体とともに転倒する。腕を負傷,2,本で頭を守る,揺れにより頭を守る前に転倒してしまう。腕の負傷,2,保留,対応を後回しにし、状況を見る。,1
33,技師休憩室,751,462,5,3,冷蔵庫の転倒,中身が出ている。,プラグ抜く,漏電防止。,1,食べる,食中毒。,2,戻す,また落ちる。,3,保留,対応を後回しにし、状況を見る。,1
34,看護師休憩室,886,436,5,1,看護師との連携,看護師がいるか、いたら安全を確認する,声をかける,いないことを確認する,1,倒れている棚の下を確認する,いないことを確認する。,1,災害や使えそうなものを探す,黒い筆記用具を発見,5,保留,対応を後回しにし、状況を見る。,1
34,看護師休憩室,886,436,5,2,ケトル転倒,熱湯がこぼれている。,近づかない,火傷防止。,1,拭く,湯をわかしたままであったことで軽いやけどを負う,3,コンセントを抜く,漏電防止,0,保留,対応を後回しにし、状況を見る。,1
34,看護師休憩室,886,436,5,3,棚の転倒,本が崩れている。,整頓してスペース確保,怪我人収容場所。,2,寝る,サボり。余震発生時の火災、漏電リスクが高くなる,10,使えるものを探す,なにもなかった,5,保留,対応を後回しにし、状況を見る。,1
35,CT（南）,762,317,20,1,天井のインジェクターがゆれている,いつもよりも傾いているようにみえる,使用禁止とする,使用禁止として、部屋を使用禁止とする。,2,ぐらつきを調べる,音がして、アンカーネジの落下,3,通電させる,反応なし。商用電源喪失中,1,保留,対応を後回しにし、状況を見る。,1
35,CT（南）,762,317,20,2,UPS警告音,バッテリー低下。,シャットダウン,システム保護。,5,警告音停止のみ,システム破損。,1,無視,再起不能。,0,保留,対応を後回しにし、状況を見る。,1
35,CT（南）,762,317,20,3,天井漏水,ガントリー上に水。,ビニール掛ける,機器水没防止。,5,バケツ置く,守りきれない。,2,祈る,効果なし。,0,保留,対応を後回しにし、状況を見る。,1
36,CT（操作）,766,202,5,1,インジェクター操作,インジェクターが使えるか自己判断を走らせて使用可能か閑談しようとする,自己判断を行わない,漏電防止。,1,自己判断を走らせる,動かないため、配線を確認する。,10,電源をつけて、後で確認する,エラー表示を見落とす。つけたまま漏電可能性向上,2,保留,対応を後回しにし、状況を見る。,1
36,CT（操作）,766,202,5,2,監視モニタ落下,監視モニターのアンカーボルトの破損,落下したモニターをとりあえずどかす,2次災害防止,2,電源を切り、モニターをどかす,2次災害防止,4,元に戻す,アンカーが曲がっており設置に時間がかかった,12,保留,対応を後回しにし、状況を見る。,1
36,CT（操作）,766,202,5,3,画像転送確認,PACSへの転送。,未転送を確認,再送準備。,2,諦める,画像紛失。,0,サーバー蹴る,故障。,0,保留,対応を後回しにし、状況を見る。,1
37,CT（北）,775,202,10,1,ガントリー（本体）,天井が崩落しており、がれきが直撃しているようにみえる,がれきをどけて周囲を観察する,外観確認する。,2,がれきをどかして、拭き掃除をして使用できるようにする,雰囲気は使用できるように整えた,5,がれき除去＋機器本体確認,アンカーボルトが緩んでいることを発見,6,保留,対応を後回しにし、状況を見る。,1
37,CT（北）,775,202,10,2,ファントム落下,校正用ファントム。,拾って箱へ,破損・躓き防止。,2,蹴る,破損。,0,投げる,危険。,0,保留,対応を後回しにし、状況を見る。,1
37,CT（北）,775,202,10,3,生体監視モニターの転倒,モニターが転倒している,モニターを起こす,ぐらつきがあり、台座が破損していることを確認,1,モニターが使えるか確認する,商用電源に繋がっていたので確認できず,2,電源を抜いて壁際におく,漏電回避,1,保留,対応を後回しにし、状況を見る。,1
38,CT（待合）,686,116,5,1,壁の亀裂,動けない患者。,安全な場所へ移動,転倒防止。,3,放置,転倒・負傷。,0,走らせる,無理。,0,保留,対応を後回しにし、状況を見る。,1
38,CT（待合）,686,116,5,2,CDプレーヤー,壁掛けTVが外れそう。,コーン設置,直撃防止。,2,支える,怪我。,0,下で見る,直撃。,0,保留,対応を後回しにし、状況を見る。,1
38,CT（待合）,686,116,5,3,ウォーターサーバー,転倒しているウォーターサーバーを発見,端に寄せて起こす,設置していた容器から水が出てずぶぬれとなる,3,電源を抜く,漏電防止,1,ウォーターサーバーおよび水確保,安全と思われる場所に搬送,5,保留,対応を後回しにし、状況を見る。,1
39,CT受付,833,66,5,1,予約票散乱,個人情報が表示されている,回収し隠す。,漏洩防止。,3,ごみとして捨てる,後日問題となる恐れあり,1,掃除して棚に隠しておく,後でわからなくなる,1,保留,対応を後回しにし、状況を見る。,1
39,CT受付,833,66,5,2,電話から音が鳴っている。（呼び鈴ではない）,よく見ると受話器が外れている,受話器を戻す,音を止める,1,電話線を抜く,繋がらなくなる,1,内線がつながるか救急外来にかけてみる,電話が通じるも応答がない,2,保留,対応を後回しにし、状況を見る。,1
39,CT受付,833,66,5,3,受付PC,モニターが宙つりとなり倒れそうである,ケーブルを外して横にする,破損防止。,2,元に戻す,余震で再度同様の危険性あり,2,ケーブルを抜いて床に置く,機器安全を優先した,2,保留,対応を後回しにし、状況を見る。,1
40,MRI（北）,892,176,10,1,クエンチ発生している？,白煙と爆音が鳴り響いている,退室・扉閉鎖,窒息防止。,1,中に入る,窒息死。,0,人がいないか少し扉を開けて確認する。,ガス出るも中にいる人の安全確認,1,保留,対応を後回しにし、状況を見る。,1
40,MRI（北）,892,176,10,2,headコイル落下,暗くてよく見えないがコイルが落下している,破片の回収,急いでいて手を負傷してしまう,2,そりあえずそのままにする,後で考える,0,使えるか確認する,使用できた,10,保留,対応を後回しにし、状況を見る。,1
40,MRI（北）,892,176,10,3,天吊りの点滴棒が落下している,点滴棒が落下し機械に傷がついている,足でどかす,怪我防止。,2,元の状態に戻す,レールが傾いていることに気づき辞める,1,部屋の外に出す,部屋の安全を確保,1,保留,対応を後回しにし、状況を見る。,1
41,MRI（北）操作,920,263,5,1,酸素濃度計,アラーム鳴動。,退避する,使用禁止にする,1,中に誰かいないか入って確認する,扉が閉まってしまい、窒息してしまう,10,扉を少しだけ開け中の人を確認する。,人の存在を確認する,1,保留,対応を後回しにし、状況を見る。,1
41,MRI（北）操作,920,263,5,2,ガラス割れている,監視窓破損している,テープ養生,飛散防止。,3,部屋を使用禁止にする,張り紙を貼る,1,破片の回収を行う,手を切ってしまう,2,保留,対応を後回しにし、状況を見る。,1
41,MRI（北）操作,920,263,5,3,電子カルテ端末が倒れケーブルがむき出しとなっている,よく見るとケーブルが断線している,モニターケーブルを外す,落下防止にする,1,電源ケーブルを抜く,感電リスクを無くした,1,電子カルテが使えるか確認する,断線個所から発火,4,保留,対応を後回しにし、状況を見る。,1
42,MRI（南）,968,354,10,1,ドア変形,シールドドア開かない。,中に人がいるか確認する,大声で確認したら、人がいること確認した,2,こじ開ける,困難。,10,窓を破壊する,ハンマーを探して破戒して人名救出,7,保留,対応を後回しにし、状況を見る。,1
42,MRI（南）,968,354,10,2,ヘリウム排気管,亀裂発見。,立入禁止,酸欠防止。,2,塞ぐ,養生テープでは粘着力が弱いが応急措置,2,クエンチ措置を行う,使用禁止になる,12,保留,対応を後回しにし、状況を見る。,1
42,MRI（南）,968,354,10,3,エアコンから水漏れ,天井から水が落下,エアコンの電源を落とす,感電リスク回避,1,人を呼ぶ,誰も来ない,1,吸水シートを引いておく,一次措置,2,保留,対応を後回しにし、状況を見る。,1
43,MRI（CPU),860,350,5,1,機械室異音,ガスが噴射しているような音がする,入室禁止にする,窒息回避。,1,扉を開放する,ガスが勢いよく噴き出す,1,少しだけ開けて中にいる人を確認する,生存確認して閉じる,1,保留,対応を後回しにし、状況を見る。,1
43,MRI（CPU),860,350,5,2,グレーディング音,異音がしている,スキャン停止,機器保護。,2,そのままにする,故障の確認をする,5,マニュアルを探して対応する,時間が経過する,1,保留,対応を後回しにし、状況を見る。,1
43,MRI（CPU),860,350,5,3,パネルユニットの発熱,ユニットの一部から煙が出ている,消火器で消火,冷却。,5,電源ユニットのブレーカーを遮断,とりあえず火災予防する,1,非常ベルを押す,電源が落ちていて作動しない,1,保留,対応を後回しにし、状況を見る。,1
44,MRI前室,981,196,5,1,ストレッチャーが倒れている,磁性体のストレッチャーが置いてある,ブレーキ・保持,吸着事故防止。,2,廊下に出す,安全が確認されるまで,0,壁に寄せておく,キャスターの損傷がわかる。傾いている,1,保留,対応を後回しにし、状況を見る。,1
44,MRI前室,981,196,5,2,金属探知機,立位式の探知機の転倒,起こす,通行確保。,1,電源が付くか確認する,電源が付かない,1,壁に寄せておく,器物損壊していることが判明,1,保留,対応を後回しにし、状況を見る。,1
44,MRI前室,981,196,5,3,薬品が散乱している,生食が散乱している,回収する,拾い集める,1,余震発生,生食を踏んで床が濡れてしまう。,1,棚に戻す,以外に時間がかかった,3,保留,対応を後回しにし、状況を見る。,1
45,スタッフ通路（狭）,831,276,3,1,薬品棚崩壊,棚の固定があまく傾いている,迂回・封鎖,通路を迂回するように封鎖する,3,棚をもどしてみる,重たくて動かないだけでなく、より危険な状態となる。,10,ガラス瓶だけ回収する,危険を除外する,9,保留,対応を後回しにし、状況を見る。,1
45,スタッフ通路（狭）,831,276,3,2,Zioモニターの落下,破片が散乱している,モニターのみ片付ける,モニターを端によけた,2,そこらへん一帯のモニターをどける,余震でも通路確保（予防措置）,5,ケーブルから外してどかす,ケーブル断線有無を確認できた,4,保留,対応を後回しにし、状況を見る。,1
45,スタッフ通路（狭）,831,276,3,3,天井パネルの落下,パネルが3枚落下している（天井配管がむき出しとなっている）,掃除する,通路確保。,7,カバーを掛ける,以外に時間がかかる,3,床にシートを引く,怪我の防止,2,保留,対応を後回しにし、状況を見る。,1
46,CT室前廊下,612,287,3,1,スプリンクラーの故障,スプリンクラーの故障で水放出,迂回誘導,濡れ・冷え防止。,3,バケツ置く,すぐにいっぱいになる,2,元栓探す,不明。,10,保留,対応を後回しにし、状況を見る。,1
46,CT室前廊下,612,287,3,2,認知症患者がいる,救急外来受診患者が徘徊している,誘導する,二次被害防止ただ、そのあとはどこに行ったか不明,5,救急外来に連れていく,パニックになっているので落ち着かせる,2,無視,行方不明となる,1,保留,対応を後回しにし、状況を見る。,1
46,CT室前廊下,612,287,3,3,ライトが割れている,割れたガラスが散乱している,エリア分け,動線確保する。,3,掃除する,以外に時間がかかる,5,テープを張る,危険回避,3,保留,対応を後回しにし、状況を見る。,1
47,待合自動扉,699,50,10,1,自動扉,ガラスが割れており、自動扉がふさがったまま,迂回する,危険なので後回しにする。,1,近くにあった椅子で封鎖,2次災害を防ぐ,5,張り紙を貼る,見えないかもしれない,2,保留,対応を後回しにし、状況を見る。,1
48,機材倉庫,571,65,10,1,物が散乱,機材倉庫の棚から資材が落下,懐中電灯の発見,取得,1,危険と判断し、封鎖,2次災害を防ぐ,2,使えるものを探す,物で指を怪我する,5,保留,対応を後回しにし、状況を見る。,1
49,ポータブル,304,299,15,1,天井パネル落下,ポータブル装置周囲に天井パネルが散乱している,損傷の確認,周囲の確認を行った,1,電源が付くか確認する,電源の確認。起動した,1,テスト照射,照射可能,1,保留,対応を後回しにし、状況を見る。,1
50,ポータブル,304,299,15,2,FPDの接続不良,FPDとの接続ができていないように感じる,Wifiの確認,RISが起動しているが院内LANが停止していることがわかった,1,FPDとの再接続,再接続でできた,2,予備のCR充填,いつでも使用できるようにする。準備,1,保留,対応を後回しにし、状況を見る。,1
